Iteration,birefringence active L2,birefringence active negative penalty
1,1.4734808206558228,0.0
2,1.4657543897628784,0.0
3,1.4577518701553345,0.0
4,1.448370099067688,0.0
5,1.4373382329940796,0.0
6,1.424539566040039,0.0
7,1.409846544265747,0.0
8,1.3931196928024292,0.0
9,1.3742567300796509,0.0
10,1.3531996011734009,0.0
11,1.3298972845077515,0.0
12,1.3063901662826538,0.0
13,1.2826323509216309,0.0
14,1.2586005926132202,0.0
15,1.2342764139175415,0.0
16,1.2096422910690308,0.0
17,1.1846815347671509,0.0
18,1.1593835353851318,0.0
19,1.1337480545043945,0.0
20,1.1077907085418701,0.0
21,1.081541657447815,0.0
22,1.0550483465194702,0.0
23,1.028371810913086,0.0
24,1.001584529876709,0.0
25,0.9747664928436279,0.0
26,0.948000431060791,0.0
27,0.9213695526123047,0.0
28,0.894953727722168,0.0
29,0.8688280582427979,0.0
30,0.8430603742599487,0.0
31,0.8177109360694885,0.0
32,0.7928318977355957,0.0
33,0.7684672474861145,0.0
34,0.7446528077125549,0.0
35,0.7214170694351196,0.0
36,0.6987816095352173,0.0
37,0.6767616868019104,0.0
38,0.6553669571876526,0.0
39,0.6346023082733154,0.0
40,0.6144682168960571,0.0
41,0.5949611067771912,0.0
42,0.5760748982429504,0.0
43,0.5578000545501709,0.0
44,0.5401254296302795,0.0
45,0.5230377316474915,0.0
46,0.5065224170684814,0.0
47,0.4905638098716736,0.0
48,0.4751454293727875,0.0
49,0.46025022864341736,0.0
50,0.4458611309528351,0.0
51,0.43196067214012146,0.0
52,0.41853150725364685,0.0
53,0.4055566191673279,0.0
54,0.3930192291736603,0.0
55,0.38090285658836365,0.0
56,0.36919164657592773,0.0
57,0.3578701913356781,0.0
58,0.3469235599040985,0.0
59,0.3363376259803772,0.0
60,0.32609862089157104,0.0
61,0.3161934018135071,0.0
62,0.3066094219684601,0.0
63,0.29733458161354065,0.0
64,0.28835710883140564,0.0
65,0.2796657979488373,0.0
66,0.2712501883506775,0.0
67,0.26310110092163086,0.0
68,0.25521036982536316,0.0
69,0.24757039546966553,0.0
70,0.24017569422721863,0.0
71,0.23302261531352997,0.0
72,0.22610798478126526,0.0
73,0.2194298952817917,0.0
74,0.21298624575138092,0.0
75,0.2067718356847763,0.0
76,0.20077620446681976,0.0
77,0.1949853152036667,0.0
78,0.1893857717514038,0.0
79,0.18396714329719543,0.0
80,0.17872095108032227,0.0
81,0.173639714717865,0.0
82,0.16871653497219086,0.0
83,0.163944810628891,0.0
84,0.15931855142116547,0.0
85,0.15483194589614868,0.0
86,0.15047980844974518,0.0
87,0.14625732600688934,0.0
88,0.14215998351573944,0.0
89,0.13818372786045074,0.0
90,0.13432468473911285,0.0
91,0.13057932257652283,0.0
92,0.12694428861141205,0.0
93,0.12341637909412384,0.0
94,0.11999260634183884,0.0
95,0.11667007952928543,0.0
96,0.11344598233699799,0.0
97,0.11031761765480042,0.0
98,0.1072823703289032,0.0
99,0.10433772206306458,0.0
100,0.10148116946220398,0.0
